tau,gamma
0.007247839,9.992679025
0.008632963,10.26412752
0.01028351,10.81335129
0.012877891,11.63854267
0.015725768,11.63131208
0.019207434,12.45740729
0.024048188,12.44927287
0.029366316,12.44204228
0.035865496,12.99036222
0.049618458,12.70083724
0.042713773,12.70626019
0.056217653,12.69631812
0.065305242,12.69089518
0.077774843,12.40679314
0.094974333,12.39956255
0.113109048,12.11546051
0.14519653,12.10642227
0.200859574,11.53912203
0.128143524,11.83316613
0.172920838,11.82232024
0.22762102,12.36792871
0.264415981,12.36250576
0.322957365,13.18860097
0.356910132,13.46276094
0.394514475,14.57024671
0.458287779,14.56482377
0.519275519,14.83807992
0.994493281,16.75900736
0.718795413,16.77075707
0.634286503,15.94195039
0.814450828,17.04401322
1.126681519,16.47671297
1.214083216,15.6406757
1.410242054,15.35747749
1.637866925,14.51872874
1.902100399,13.40220473
2.322256386,12.56164833
2.379825768,10.61631764
2.564973186,10.61360617
2.629653888,10.33492708
3.131768749,10.05082504
3.291022312,8.660141057
3.546567571,8.10187905
4.017141907,6.986258861
4.665865896,6.425285382
5.28532034,5.587440461
6.292770601,4.192237356
8.077382742,3.905423848
9.619037768,3.343546545
8.489303449,3.070290399
10.36594838,2.785284539
11.45413956,2.503893975
14.33887953,1.940209024
17.07679288,1.656106989
25.46304907,1.363870536
30.32504836,1.079768501
37.96508489,0.793858817
44.10214462,0.788435872
51.23126066,0.783012928
62.54776157,-0.057543466
78.31136115,-0.065677883
108.3556238,0.200347671
157.5940407,0.18679031
139.0946244,0.19130943
174.149947,0.183175013
240.929387,-0.106349967
229.1912313,-0.104542319
279.8756462,-0.111772911
350.4113058,-0.119907328
417.3489572,-0.126234096
509.6080936,-0.411239956
591.9862923,-0.416662901
798.8446262,-0.42750879
975.5048427,-0.434739382
1491.349437,-0.727879659
1689.697102,-0.732398779
2063.221446,-1.017404639
2519.491834,-1.024635232
1221.271726,-0.720649066
2784.368029,-0.750475261
3486.340223,-0.48083441
4152.321664,-0.487161179
4823.544871,-0.492584123
5603.271377,-0.498007068
6673.641595,-0.504333836
7561.22783,-0.508852957
9233.993473,-0.238308282
10204.06271,-0.241923579
12153.30345,-0.248250347
14115.92755,-0.809223826
18578.65196,-0.819165891
16812.43597,-0.815550595
22687.22148,-0.826396484
26358.26982,-0.276268894
30619.08674,-0.281691838
33845.13875,0.825793934
39327.11992,1.931472058
44569.94489,3.038054007
50511.70774,4.144635955
58693.21448,5.250314079
58721.72268,7.194740949
71737.57043,8.854161959
79317.9059,11.0727488
92171.6179,12.45620219
112586.1148,13.56007267
134092.9839,13.5537459
151906.1108,12.99367624
180899.0194,12.43179894
194932.1609,11.59576167
204873.0781,10.76062822
226317.3301,9.368136586
262828.608,8.251612573
297639.9257,6.302666582
328862.6017,5.743500752
354300.1942,4.074137677
411544.3054,3.790939465
443469.6275,2.954902191
477937.8444,2.674415452
515049.3369,2.116153445
555081.0125,1.835666706
628862.4873,1.553372318
730366.1559,0.714623572
914436.686,0.706489156
1010502.045,0.702873859
1174012.675,1.253001449
1363602.737,0.69202797
1664925.178,0.129246843
1839704.834,-0.15214372
2361439.979,-0.438957228
2742976.695,-0.72215544
3266956.415,-0.728482208
3795060.242,-0.733905153
4193747.031,-0.737520449
4996247.715,0.367253851
5523039.583,1.752514891
6259333.772,2.859096839
6261070.879,3.970197907
6262808.469,5.081298976
6584931.939,5.912817129
6752857.136,6.745239107
6755668.439,8.41189071
6927947.661,9.244312687
7106098.97,10.91006047
7107577.997,11.74338627
7473670.075,12.85267969
7475744.189,13.96378076
7477818.878,15.07488183
7669045.962,16.18507907
7865163.216,17.29527631
8270276.456,18.40456973
8272571.646,19.5156708
8276015.625,21.18232241
8278886.703,22.57119874
8707725.639,24.79159323
8708933.851,25.34714377
8932263.335,26.73511628
9161955.371,28.40086406
9396250.163,29.5110613
9400161.944,31.1777129
9403423.006,32.56658924
10141327.01,35.06385517
9889139.783,34.23143319
9894629.467,36.45363533
9898062.067,37.84251167
10152589.5,39.50825945
10156816.15,41.17491105
10679966.22,42.28420447
10684412.43,43.95085607
11233178.93,44.50459896
11238635.06,46.44902583
11242533.92,47.83790216
11247214.33,49.50455377
11253457.91,51.7267559
11541237.81,52.83695315
11837198.11,54.22492566
12139905.75,55.33512291
12451218.12,56.72309542
12150015.85,58.66842611
12774944,59.49994426
13438539.05,62.27588929
13105268.21,61.72124258
13784109.4,63.94163707
13790804.55,65.88606394
13794631.82,66.99716501
13803247.04,69.49714241
14518242.91,71.7175369
14890544.7,73.10550941
15272393.7,74.49348192
15276632.14,75.60458299
15282992,77.27123459
15675992.23,78.93698237
16079098.41,80.60273015
16909635.1,82.26757411
17778137.83,82.82131699
17780604.58,83.37686753
17785539.1,84.4879686
18700326.7,85.31948675
19177211.82,86.15190873
20674910.68,87.26029832
25250559.68,87.80861826
27903235.5,87.80500297
29328245.8,87.24764479
29318074.9,85.85876845
31583643.19,83.91163011
34024284.35,81.96449176
34872593.78,80.5747116
34003048.27,79.46451436
35724701.62,77.24050457
35712312.47,75.85162824
37525715.87,74.18316899
37504896.06,71.96096685
39414791.56,70.84805813
40400302.16,69.73605324
41398964.89,67.51294728
41384607.93,66.12407094
43483023.16,64.17783643
44567162.3,62.78805627
44548616.13,61.12140466
44530077.68,59.45475306
45637156.47,57.78719763
46778248.43,56.67519274
47947871.75,55.56318785
47927918.74,53.89653624
47914621.34,52.78543518
50344142.26,50.83920066
50323192.07,49.17254906
49064983.24,47.78457654
51563563.45,46.67166783
54181863.27,45.00320858
54166830.74,43.89210751
54144289.77,42.2254559
55490391.06,40.55790048
56866013.28,38.61256978
56846292.42,37.22369345
56822636.42,35.55704184
59707981.98,33.88858259
59678994.97,31.94415572
59658298.59,30.55527939
61137244.39,28.60994869
62657200.12,26.94239327
65838813.74,25.27393401
65815981.16,23.88505768
69148397.22,21.66104789
69124416.89,20.27217156
70838030.4,18.32684086
72609234.24,17.21483597
74414399.36,15.54728054
76275025.19,14.43527565
80153686.26,13.04459167
80120331.13,11.37794006
82123625.64,10.26593517
82106536.41,9.43260937
86293707.38,8.597475921
86275750.39,7.764150119
88426817.9,6.374369959
90637804.25,5.262365067
90612657.18,4.151263998
92852528.63,1.928158037
92813889.01,0.261506434
95121369.56,-1.406048993
